"name","node_id","osm_node_id","x_coord","y_coord","zone_id","TAZ_ID","geometry","notes"
"810000","1","","-111.95857402769855","33.32929064666485","1","810000","POINT (-111.95857402769855 33.32929064666485)"," "
"810100","2","","-111.92234488535459","33.32935351748038","2","810100","POINT (-111.92234488535459 33.32935351748038)"," "
"810400","3","","-111.94838873006022","33.32731187952501","3","810400","POINT (-111.94838873006022 33.32731187952501)"," "
"319710","4","","-111.96854061981801","33.41865076566256","4","319710","POINT (-111.96854061981801 33.41865076566256)"," "
"319001","5","","-111.93265996939043","33.4182893069808","5","319001","POINT (-111.93265996939043 33.4182893069808)"," "
"319708","6","","-111.97147327426742","33.38599231190118","6","319708","POINT (-111.97147327426742 33.38599231190118)"," "
"319707","7","","-111.96462995434977","33.382844063374215","7","319707","POINT (-111.96462995434977 33.382844063374215)"," "
"319709","8","","-111.97327504107547","33.40084275258209","8","319709","POINT (-111.97327504107547 33.40084275258209)"," "
"422227","9","","-111.8886884054658","33.384501451790044","9","422227","POINT (-111.8886884054658 33.384501451790044)"," "
"319002","10","","-111.93623000381992","33.41263157306175","10","319002","POINT (-111.93623000381992 33.41263157306175)"," "
"319801","11","","-111.93554156226384","33.38198489716801","11","319801","POINT (-111.93554156226384 33.38198489716801)"," "
"319802","12","","-111.93502429906005","33.38922761939677","12","319802","POINT (-111.93502429906005 33.38922761939677)"," "
"319902","13","","-111.9372945460827","33.370969836922804","13","319902","POINT (-111.9372945460827 33.370969836922804)"," "
"319903","14","","-111.9197301488269","33.371174231536045","14","319903","POINT (-111.9197301488269 33.371174231536045)"," "
"319904","15","","-111.90234525424631","33.371047113918","15","319904","POINT (-111.90234525424631 33.371047113918)"," "
"319905","16","","-111.9198593295126","33.35646127620905","16","319905","POINT (-111.9198593295126 33.35646127620905)"," "
"319906","17","","-111.90279797102626","33.35649140422487","17","319906","POINT (-111.90279797102626 33.35649140422487)"," "
"319910","18","","-111.95037420562639","33.34187027809689","18","319910","POINT (-111.95037420562639 33.34187027809689)"," "
"320001","19","","-111.95755716199281","33.35512991305016","19","320001","POINT (-111.95755716199281 33.35512991305016)"," "
"319908","20","","-111.9371759329003","33.35645209091047","20","319908","POINT (-111.9371759329003 33.35645209091047)"," "
"319909","21","","-111.90239318761725","33.34195030578041","21","319909","POINT (-111.90239318761725 33.34195030578041)"," "
"320007","22","","-111.95295068566995","33.371701867041224","22","320007","POINT (-111.95295068566995 33.371701867041224)"," "
"318400","23","","-111.91136650374384","33.433452944116105","23","318400","POINT (-111.91136650374384 33.433452944116105)"," "
"318700","24","","-111.93492019536656","33.428841316637474","24","318700","POINT (-111.93492019536656 33.428841316637474)"," "
"319300","25","","-111.88681356806566","33.41709433318095","25","319300","POINT (-111.88681356806566 33.41709433318095)"," "
"319401","26","","-111.91806232561137","33.385525129111265","26","319401","POINT (-111.91806232561137 33.385525129111265)"," "
"319402","27","","-111.90044918598994","33.38584380493845","27","319402","POINT (-111.90044918598994 33.38584380493845)"," "
"319907","28","","-111.91980915327268","33.3419174921397","28","319907","POINT (-111.91980915327268 33.3419174921397)"," "
"318501","29","","-111.93495354158652","33.45534497481158","29","318501","POINT (-111.93495354158652 33.45534497481158)"," "
"421201","30","","-111.88683839824672","33.42741013677896","30","421201","POINT (-111.88683839824672 33.42741013677896)"," "
"319600","31","","-111.93490620100386","33.400180223522","31","319600","POINT (-111.93490620100386 33.400180223522)"," "
"319103","32","","-111.91617466422547","33.418997000088396","32","319103","POINT (-111.91617466422547 33.418997000088396)"," "
"319104","33","","-111.91768631805228","33.411143867046114","33","319104","POINT (-111.91768631805228 33.411143867046114)"," "
"319201","34","","-111.90024923539201","33.41842864114234","34","319201","POINT (-111.90024923539201 33.41842864114234)"," "
"319202","35","","-111.90026560299567","33.41113162123449","35","319202","POINT (-111.90026560299567 33.41113162123449)"," "
"319705","36","","-111.95208423431605","33.396579067435745","36","319705","POINT (-111.95208423431605 33.396579067435745)"," "
"319706","37","","-111.95266826470905","33.38200595780043","37","319706","POINT (-111.95266826470905 33.38200595780043)"," "
"320100","38","","-111.94240830800949","33.442680959325","38","320100","POINT (-111.94240830800949 33.442680959325)"," "
"318800","39","","-111.9525185541581","33.4292177099346","39","318800","POINT (-111.9525185541581 33.4292177099346)"," "
"319101","40","","-111.92207386771332","33.41666503787859","40","319101","POINT (-111.92207386771332 33.41666503787859)"," "
"318900","41","","-111.95217898996134","33.41466548323182","41","318900","POINT (-111.95217898996134 33.41466548323182)"," "
"319403","42","","-111.90021141274276","33.40024208354758","42","319403","POINT (-111.90021141274276 33.40024208354758)"," "
"319404","43","","-111.88676226234159","33.39434670411653","43","319404","POINT (-111.88676226234159 33.39434670411653)"," "
"319500","44","","-111.91771099802081","33.40024816952753","44","319500","POINT (-111.91771099802081 33.40024816952753)"," "
