iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_demand_volume,obs_volume,background_volume,link_capacity,lane_capacity,D,doc,vdf_fftt,travel_time,vdf_alpha,vdf_beta,vdf_plf,speed_mph,speed_kmph,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,obs_vol_auto,P,t0,t2,t3,vt2_mph,vt2_kmph,mu,Q_gamma,free_speed_mph,cutoff_speed_mph,free_speed_kmph,cutoff_speed_kmph,congestion_ref_speed_mph,avg_queue_speed_mph,avg_QVDF_period_speed_mph,congestion_ref_speed_kmph,avg_queue_speed_kmph,avg_QVDF_period_speed_kmph,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_mph_07:00,spd_mph_07:05,spd_mph_07:10,spd_mph_07:15,spd_mph_07:20,spd_mph_07:25,spd_mph_07:30,spd_mph_07:35,spd_mph_07:40,spd_mph_07:45,spd_mph_07:50,spd_mph_07:55,
1,3059,2048,2058,0.0000,0.0000,0.0000,-1.0000,0.0000,1600.0000,1600.0000,0.0000,0.0000,0.0100,0.0100,0.1500,4.0000,1.0000,10.0000,16.0900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9252008 33.4074445, -111.9251976 33.4075685)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,26.250000,42.236250,0.000000,-nan(ind),35.000000,26.250000,56.315000,42.236250,35.000000,35.000000,35.000000,56.315000,56.315000,56.315000,0.017143,0.000000,35.000,35.000,35.000,35.000,35.000,35.000,-nan(ind),35.000,35.000,35.000,35.000,35.000,
1,3060,2049,1198,960.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,240.0000,0.0375,0.0600,0.0600,0.1500,4.0000,1.0000,40.0000,64.3600,38.400000,0.960000,38.400000,0.960000,0.964692,0.964692,"LINESTRING (-111.9243424 33.4074438, -111.924247 33.4074437, -111.9240645 33.4074436, -111.9236803 33.4074433)",960.000000,-1.000000,0.037500,7.481250,7.500000,7.518750,29.999983,48.269973,6400.000000,67082010.618603,40.000000,30.000000,64.360000,48.270000,39.625000,39.624988,39.805468,63.756625,63.756606,64.046999,0.060293,0.000000,40.000,39.935,39.870,39.805,39.740,39.675,30.000,39.675,39.740,39.805,39.870,39.935,
1,3061,2050,1076,70.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,17.5000,0.0027,0.0500,0.0500,0.1500,4.0000,1.0000,40.0000,64.3600,2.800000,0.058333,2.800000,0.058333,0.062244,0.062244,"LINESTRING (-111.9148321 33.4075753, -111.915449 33.4075769)",70.000000,-1.000000,0.002734,7.498633,7.500000,7.501367,33.750000,54.303750,1750.000000,592406450466.262817,45.000000,33.750000,72.405000,54.303750,44.969238,44.969238,44.984577,72.355504,72.355504,72.380185,0.053352,0.000000,45.000,44.995,44.990,44.985,44.979,44.974,33.750,44.974,44.979,44.985,44.990,44.995,
1,3062,2051,2047,0.0000,0.0000,0.0000,-1.0000,0.0000,6400.0000,3200.0000,0.0000,0.0000,0.0100,0.0100,0.1500,4.0000,1.0000,10.0000,16.0900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.911231 33.4074387, -111.91123 33.4075712)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,26.250000,42.236250,0.000000,-nan(ind),35.000000,26.250000,56.315000,42.236250,35.000000,35.000000,35.000000,56.315000,56.315000,56.315000,0.017143,0.000000,35.000,35.000,35.000,35.000,35.000,35.000,-nan(ind),35.000,35.000,35.000,35.000,35.000,
1,3063,2051,2052,960.0000,0.0000,0.0000,-1.0000,0.0000,14400.0000,4800.0000,320.0000,0.0667,0.1000,0.1000,0.1500,4.0000,1.0000,48.0000,77.2320,76.800000,1.600000,76.800000,1.600000,1.721973,1.721973,"LINESTRING (-111.911231 33.4074387, -111.9099258 33.4074356)",960.000000,-1.000000,0.066667,7.466667,7.500000,7.533333,33.749813,54.303448,4800.000000,8747594.630508,45.000000,33.750000,72.405000,54.303750,44.250000,44.249869,44.599991,71.198250,71.198039,71.761386,0.107623,0.000000,45.000,44.866,44.732,44.598,44.464,44.330,33.750,44.330,44.464,44.598,44.732,44.866,
1,3064,2052,2868,960.0000,0.0000,0.0000,-1.0000,0.0000,40000.0000,8000.0000,192.0000,0.0240,0.0600,0.0600,0.1500,4.0000,1.0000,50.0000,80.4500,48.000000,0.960000,48.000000,0.960000,1.069954,1.069954,"LINESTRING (-111.9099258 33.4074356, -111.9093078 33.4074328, -111.909105 33.4074308)",960.000000,-1.000000,0.024000,7.488000,7.500000,7.512000,33.749997,54.303745,8000.000000,561209260.023166,45.000000,33.750000,72.405000,54.303750,44.730000,44.729998,44.861760,71.970570,71.970566,72.182572,0.066872,0.000000,45.000,44.954,44.908,44.862,44.816,44.769,33.750,44.769,44.816,44.862,44.908,44.954,
1,3065,2053,2054,70.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,17.5000,0.0027,0.0500,0.0500,0.1500,4.0000,1.0000,40.0000,64.3600,2.800000,0.058333,2.800000,0.058333,0.062244,0.062244,"LINESTRING (-111.9126153 33.4075737, -111.9132484 33.4075751)",70.000000,-1.000000,0.002734,7.498633,7.500000,7.501367,33.750000,54.303750,1750.000000,592406450466.262817,45.000000,33.750000,72.405000,54.303750,44.969238,44.969238,44.984577,72.355504,72.355504,72.380185,0.053352,0.000000,45.000,44.995,44.990,44.985,44.979,44.974,33.750,44.974,44.979,44.985,44.990,44.995,
1,3066,2054,2050,70.0000,0.0000,0.0000,-1.0000,0.0000,14400.0000,4800.0000,23.3333,0.0049,0.1200,0.1200,0.1500,4.0000,1.0000,45.0000,72.4050,6.300000,0.140000,6.300000,0.140000,0.140086,0.140086,"LINESTRING (-111.9132484 33.4075751, -111.913924 33.4075751, -111.9142636 33.4075751, -111.9148321 33.4075753)",70.000000,-1.000000,0.004861,7.497569,7.500000,7.502431,33.750000,54.303750,2333.333333,177637689814.388763,45.000000,33.750000,72.405000,54.303750,44.945312,44.945312,44.972523,72.317008,72.317008,72.360790,0.120073,0.000000,45.000,44.991,44.982,44.973,44.963,44.954,33.750,44.954,44.963,44.973,44.982,44.991,
1,3067,2054,2273,0.0000,0.0000,0.0000,-1.0000,0.0000,6400.0000,3200.0000,0.0000,0.0000,0.0100,0.0100,0.1500,4.0000,1.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9132484 33.4075751, -111.9132493 33.407514)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,26.250000,42.236250,0.000000,-nan(ind),35.000000,26.250000,56.315000,42.236250,35.000000,35.000000,35.000000,56.315000,56.315000,56.315000,0.000000,0.000000,35.000,35.000,35.000,35.000,35.000,35.000,-nan(ind),35.000,35.000,35.000,35.000,35.000,
1,3068,2055,2056,960.0000,0.0000,0.0000,-1.0000,0.0000,14400.0000,4800.0000,320.0000,0.0667,0.0900,0.0900,0.1500,4.0000,1.0000,46.6667,75.0867,67.200000,1.440000,67.200000,1.440000,1.506727,1.506727,"LINESTRING (-111.9195487 33.4074443, -111.9195076 33.4074443, -111.9183745 33.4074446)",960.000000,-1.000000,0.066667,7.466667,7.500000,7.533333,33.749813,54.303448,4800.000000,7654145.301695,45.000000,33.750000,72.405000,54.303750,44.250000,44.249869,44.599991,71.198250,71.198039,71.761386,0.094170,0.000000,45.000,44.866,44.732,44.598,44.464,44.330,33.750,44.330,44.464,44.598,44.732,44.866,
1,3069,2055,2072,0.0000,0.0000,0.0000,-1.0000,0.0000,6400.0000,3200.0000,0.0000,0.0000,0.0100,0.0100,0.1500,4.0000,1.0000,10.0000,16.0900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9195487 33.4074443, -111.9195494 33.4075783)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,26.250000,42.236250,0.000000,-nan(ind),35.000000,26.250000,56.315000,42.236250,35.000000,35.000000,35.000000,56.315000,56.315000,56.315000,0.017143,0.000000,35.000,35.000,35.000,35.000,35.000,35.000,-nan(ind),35.000,35.000,35.000,35.000,35.000,
